embed,epoch,batch,learning_rate,dropout,recurrent_dropout,loss,accuracy,test_mae,tain_mae,train_mae
1000,30,25,0.0001,0.5,0.5,6.8065385818481445,0.033864542841911316,0.0028317966498434544,,0.0028201525565236807
2000,30,25,0.0001,0.5,0.5,6.654498100280762,0.05378486216068268,0.002831077901646495,,0.0027970399241894484
3000,30,25,0.0001,0.5,0.5,6.5782880783081055,0.05976095795631409,0.0028297780081629753,,0.002746964106336236
4000,30,25,0.0001,0.5,0.5,6.531589984893799,0.05976095795631409,0.0028272278141230345,,0.0026702946051955223
5000,30,25,0.0001,0.5,0.5,6.504230976104736,0.055776894092559814,0.002823254559189081,,0.002556462772190571
500,15,50,0.0001,0.5,0.5,6.817562103271484,0.0039840638637542725,0.0028322997968643904,,0.002830894896760583
1000,15,50,0.0001,0.5,0.5,6.802638053894043,0.0039840638637542725,0.002832310739904642,,0.0028307223692536354
2000,15,50,0.0001,0.5,0.5,6.792039394378662,0.0039840638637542725,0.0028323079459369183,,0.002830402459949255
3000,15,50,0.0001,0.5,0.5,6.781700134277344,0.0039840638637542725,0.0028322418220341206,,0.0028299938421696424
4000,15,50,0.0001,0.5,0.5,6.7595295906066895,0.005976095795631409,0.0028322304133325815,,0.002829556120559573
5000,15,50,0.0001,0.5,0.5,6.753567695617676,0.007968127727508545,0.0028322346042841673,,0.0028290809132158756
500,30,50,0.0001,0.5,0.5,6.8809943199157715,0.0039840638637542725,0.0028322208672761917,,0.0028298916295170784
1000,30,50,0.0001,0.5,0.5,6.82801628112793,0.009960159659385681,0.0028321421705186367,,0.002828097902238369
2000,30,50,0.0001,0.5,0.5,6.733363628387451,0.023904383182525635,0.002832001307979226,,0.002822920912876725
3000,30,50,0.0001,0.5,0.5,6.678099632263184,0.03585657477378845,0.00283167720772326,,0.0028148312121629715
4000,30,50,0.0001,0.5,0.5,6.641077995300293,0.033864542841911316,0.0028313554357737303,,0.002805073047056794
5000,30,50,0.0001,0.5,0.5,6.623501777648926,0.05378486216068268,0.0028309596236795187,,0.002791620558127761
